Area,Address,City,County,Price
5055,11008 SOMERSET Avenue,Detroit,Wayne,"$11,050 "
5051,20164 ROGGE Street,Detroit,Wayne,"$11,057 "
5051,17654 SAINT LOUIS Street,Detroit,Wayne,"$11,095 "
5041,10700 CURTIS Street,Detroit,Wayne,"$11,100 "
5043,260 HAGUE Street,Detroit,Wayne,"$11,100 "
5051,20050 DEAN Street,Detroit,Wayne,"$11,100 "
5033,22666 N KANE Street,Detroit,Wayne,"$11,101 "
5042,8580 PREST Street,Detroit,Wayne,"$11,111 "
5092,7786 VAUGHAN Street,Detroit,Wayne,"$11,124 "
5054,15657 MANNING Street,Detroit,Wayne,"$11,150 "
5092,6001 FAUST Avenue,Detroit,Wayne,"$11,200 "
5054,11208 CHRISTY Street,Detroit,Wayne,"$11,200 "
5033,15444 HEYDEN Street,Detroit,Wayne,"$11,200 "
5052,5560 HELEN Street,Detroit,Wayne,"$11,200 "
5092,7380 MINOCK Street,Detroit,Wayne,"$11,200 "
5032,19301 HOUGHTON,Detroit,Wayne,"$11,250 "
5055,4316 WAYBURN Street,Detroit,Wayne,"$11,250 "
5054,16600 CARLISLE Street,Detroit,Wayne,"$11,250 "
5055,12824 PAYTON Street,Detroit,Wayne,"$11,250 "
5101,5313 OREGON,DETROIT,Wayne,"$11,277 "
5101,5313 OREGON Street,Detroit,Wayne,"$11,277 "
5033,16346 ELLSWORTH Street,Detroit,Wayne,"$11,300 "
5041,18634 HAWTHORNE Street,Detroit,Wayne,"$11,350 "
5051,18634 DEQUINDRE Street,Detroit,Wayne,"$11,400 "
5033,15864 ASHTON Road,Detroit,Wayne,"$11,401 "
5054,15675 LAPPIN Street,Detroit,Wayne,"$11,413 "
5032,20115 GLASTONBURY Road,Detroit,Wayne,"$11,500 "
5042,9997 WHITCOMB Street,Detroit,Wayne,"$11,500 "
5051,18635 FENELON Street,Detroit,Wayne,"$11,500 "
5033,15213 SAINT MARYS Street,Detroit,Wayne,"$11,500 "
5032,17171 STOUT Street,Detroit,Wayne,"$11,500 "
5055,9419 BEACONSFIELD Street,Detroit,Wayne,"$11,500 "
5032,17545 ASBURY Park,Detroit,Wayne,"$11,500 "
5032,19180 TRINITY Street,Detroit,Wayne,"$11,500 "
5051,19430 BINDER Street,Detroit,Wayne,"$11,500 "
5054,16027 BRINGARD,DETROIT,Wayne,"$11,500 "
5033,16739 ASBURY Park,Detroit,Wayne,"$11,500 "
5092,8519 EVERGREEN Avenue,Detroit,Wayne,"$11,500 "
5041,20105 CHEYENNE Street,Detroit,Wayne,"$11,500 "
5054,13890 ROSSINI Drive,Detroit,Wayne,"$11,500 "
5054,16027 BRINGARD Drive,Detroit,Wayne,"$11,500 "
5101,1149 LEWERENZ Street,Detroit,Wayne,"$11,500 "
5032,18044 RUTHERFORD Street,Detroit,Wayne,"$11,500 "
5032,19335 FIELDING Street,Detroit,Wayne,"$11,500 "
5033,15312 HEYDEN Street,Detroit,Wayne,"$11,500 "
5092,7299 GREENVIEW Avenue,Detroit,Wayne,"$11,500 "
5032,18287 OAKFIELD Street,Detroit,Wayne,"$11,500 "
5033,22447 KENDALL Street,Detroit,Wayne,"$11,500 "
5051,18860 FENELON Street,Detroit,Wayne,"$11,500 "
5055,9797 WAYBURN Street,Detroit,Wayne,"$11,500 "
5032,20835 PICKFORD Street,Detroit,Wayne,"$11,500 "
5034,11735 PATTON Street,Detroit,Wayne,"$11,500 "
5042,10034 BEECHDALE Street,Detroit,Wayne,"$11,500 "
5032,23525 KRESS Street,Detroit,Wayne,"$11,500 "
5033,15339 AUBURN Street,Detroit,Wayne,"$11,500 "
5033,15472 FERGUSON Street,Detroit,Wayne,"$11,500 "
5101,5438 CASPER Street,Detroit,Wayne,"$11,500 "
5101,1450 LAWNDALE Street,Detroit,Wayne,"$11,501 "
5041,18087 HULL Street,Detroit,Wayne,"$11,521 "
5055,6201 LODEWYCK Street,Detroit,Wayne,"$11,590 "
5042,16858 TRACEY Street,Detroit,Wayne,"$11,640 "
5092,20645 TIREMAN Street,Detroit,Wayne,"$11,667 "
5032,19357 PLAINVIEW Avenue,Detroit,Wayne,"$11,679 "
5042,13910 TERRY Street,Detroit,Wayne,"$11,680 "
5051,19352 KLINGER Street,Detroit,Wayne,"$11,700 "
5034,9615 EVERGREEN Avenue,Detroit,Wayne,"$11,707 "
5052,4538 MAXWELL,Detroit,Wayne,"$11,800 "
5041,18911 FREELAND Street,Detroit,Wayne,"$11,800 "
5032,21612 PEMBROKE Avenue,Detroit,Wayne,"$11,900 "
5101,7301 NAVY Street,Detroit,Wayne,"$11,900 "
