Area,Address,City,County,Price,full_address,latitude,longitude
5055,5811 GRAYTON Street,Detroit,Wayne,"$86,000","5811 GRAYTON Street, Detroit, Wayne",42.4116045,-82.93654629999999
5041,18444 Pennington Drive,Detroit,Wayne,"$87,000","18444 Pennington Drive, Detroit, Wayne",42.4267929,-83.14759149999999
5033,10260 W OUTER Drive,Detroit,Wayne,"$87,000","10260 W OUTER Drive, Detroit, Wayne",42.3985344,-83.2334588
5033,9160 W Outer Drive,Detroit,Wayne,"$87,000","9160 W Outer Drive, Detroit, Wayne",42.4126762,-83.2321631
5033,15050 GLASTONBURY Avenue,Detroit,Wayne,"$87,000","15050 GLASTONBURY Avenue, Detroit, Wayne",42.3992922,-83.2248336
5043,1959 W BOSTON Boulevard,Detroit,Wayne,"$87,500","1959 W BOSTON Boulevard, Detroit, Wayne",42.38036959999999,-83.10355539999999
5033,14821 FAUST Avenue,Detroit,Wayne,"$88,000","14821 FAUST Avenue, Detroit, Wayne",42.396459,-83.2230397
5101,2169 HUBBARD Street,Detroit,Wayne,"$88,000","2169 HUBBARD Street, Detroit, Wayne",42.3241393,-83.09382389999999
5033,16811 AVON Avenue,Detroit,Wayne,"$88,000","16811 AVON Avenue, Detroit, Wayne",42.4138566,-83.2256994
5041,19981 LICHFIELD Road,Detroit,Wayne,"$88,000","19981 LICHFIELD Road, Detroit, Wayne",42.4402418,-83.1332643
5033,15062 Stahelin Avenue,Detroit,Wayne,"$88,600","15062 Stahelin Avenue, Detroit, Wayne",42.3993815,-83.2260944
5066,302 DREXEL Street,Detroit,Wayne,"$88,888","302 DREXEL Street, Detroit, Wayne",42.3613406,-82.9432765
5033,14550 WARWICK Street,Detroit,Wayne,"$89,329","14550 WARWICK Street, Detroit, Wayne",42.3944848,-83.2283418
5041,4890 W OUTER DRIVE  DETROIT 48235,Detroit,Wayne,"$89,900","4890 W OUTER DRIVE  DETROIT 48235, Detroit, Wayne",42.4319885,-83.1761854
5032,20277 Alderton,Detroit,Wayne,"$89,900","20277 Alderton, Detroit, Wayne",42.4407277,-83.2644411
5041,20410 PICADILLY Road,Detroit,Wayne,"$89,999","20410 PICADILLY Road, Detroit, Wayne",42.4440417,-83.1373127
5066,217 PIPER Boulevard,Detroit,Wayne,"$90,000","217 PIPER Boulevard, Detroit, Wayne",42.3593917,-82.9415022
5033,14582 GRANDMONT Avenue,Detroit,Wayne,"$90,000","14582 GRANDMONT Avenue, Detroit, Wayne",42.3953134,-83.2105448
5043,207 KING Street,Detroit,Wayne,"$90,000","207 KING Street, Detroit, Wayne",42.3814439,-83.0777849
5043,2435 EDISON Street,Detroit,Wayne,"$90,000","2435 EDISON Street, Detroit, Wayne",42.375399,-83.1073276
5032,19244 MCINTYRE Street,Detroit,Wayne,"$90,000","19244 MCINTYRE Street, Detroit, Wayne",42.4312309,-83.26289249999999
5033,14312 WARWICK Street,Detroit,Wayne,"$90,000","14312 WARWICK Street, Detroit, Wayne",42.391517,-83.22825449999999
5033,16766 SUNDERLAND Road,Detroit,Wayne,"$90,000","16766 SUNDERLAND Road, Detroit, Wayne",42.4131924,-83.2274928
5041,18256 SANTA BARBARA Drive,Detroit,Wayne,"$90,000","18256 SANTA BARBARA Drive, Detroit, Wayne",42.4252489,-83.14876989999999
5033,16719 ASHTON Avenue,Detroit,Wayne,"$90,000","16719 ASHTON Avenue, Detroit, Wayne",42.4123606,-83.22023349999999
5041,17403 GREENLAWN Street,Detroit,Wayne,"$90,000","17403 GREENLAWN Street, Detroit, Wayne",42.4203626,-83.1516165
5041,18935 WARRINGTON Drive,Detroit,Wayne,"$90,000","18935 WARRINGTON Drive, Detroit, Wayne",42.4300757,-83.1403466
5053,1481 BALDWIN Street,Detroit,Wayne,"$90,000","1481 BALDWIN Street, Detroit, Wayne",42.3547647,-83.0014668
5055,5567 BISHOP Street,Detroit,Wayne,"$90,000","5567 BISHOP Street, Detroit, Wayne",42.40901239999999,-82.9361414
5041,5062 W OUTER Drive,Detroit,Wayne,"$90,000","5062 W OUTER Drive, Detroit, Wayne",42.4296732,-83.1760031
5043,1736 Estates Drive,Detroit,Wayne,"$90,100","1736 Estates Drive, Detroit, Wayne",42.3690147,-83.09070439999999
5032,17170 Annchester Road,Detroit,Wayne,"$90,500","17170 Annchester Road, Detroit, Wayne",42.4163782,-83.23475859999999
5033,16124 SUNDERLAND Road,Detroit,Wayne,"$91,000","16124 SUNDERLAND Road, Detroit, Wayne",42.4086095,-83.2272338
5041,17564 PENNINGTON,Detroit,Wayne,"$91,000","17564 PENNINGTON, Detroit, Wayne",42.4217309,-83.1473594
5033,15016 WARWICK Street,Detroit,Wayne,"$91,000","15016 WARWICK Street, Detroit, Wayne",42.398677,-83.2284959
5041,3721 Chippewa Street,Detroit,Wayne,"$91,000","3721 Chippewa Street, Detroit, Wayne",42.43927130000001,-83.13730600000001
5041,18252 WILDEMERE Street,Detroit,Wayne,"$91,400","18252 WILDEMERE Street, Detroit, Wayne",42.425374,-83.1329368
5033,14131 Artesian Street,Detroit,Wayne,"$91,500","14131 Artesian Street, Detroit, Wayne",42.3894092,-83.2275616
